"datetime";"shape";"duration";"lat";"long"
"";"cylinder";2700;29.8831;-97.9411
"";"light";7200;29.3842;-98.5811
"";"circle";20;53.2;-2.91667
"";"circle";20;28.9783;-96.6458
"";"light";900;21.4181;-157.804
"";"sphere";300;36.595;-82.1889
"";"circle";180;51.4347;-3.18
"";"disk";1200;41.1175;-73.4083
"";"disk";180;33.5861;-86.2861
"";"disk";120;30.2947;-82.9842
"";"circle";300;33.9164;-118.352
"";"fireball";180;35.2333;-82.7344
"";"disk";1800;40.6686;-73.5275
"";"unknown";180;37.1536;-83.7619
"";"oval";30;35.8239;-80.2536
"";"circle";1200;36.8431;-83.3219
"";"disk";120;42.5378;-83.2331
"";"disk";1800;41.3253;-72.1936
"";"light";20;32.3642;-64.6786
"";"other";2700;42.3917;-71.5667
"";"disk";1200;51.5;-3.2
"";"light";1200;38.1056;-98.6597
"";"light";360;32.8544;-79.975
"";"oval";60;45.5828;-122.352
"";"cigar";3;51.7833;-0.783333
"";"other";30;29.4239;-98.4933
"";"light";30;38.2542;-85.7594
"";"rectangle";300;40.7008;-73.7133
"";"chevron";900;41.7003;-73.9214
"";"triangle";270;53.9706;-111.69
"";"oval";180;32.7153;-117.156
"";"unknown";1800;38.7583;-104.743
"";"sphere";180;29.7631;-95.3631
"";"unknown";300;32.7833;-96.8
"";"light";300;42.9956;-71.4553
"";"disk";120;-38.6623;178.018
"";"circle";60;29.7631;-95.3631
"";"other";120;44.7631;-85.6206
"";"formation";20;41.0339;-73.7633
"";"triangle";600;53.8;-1.58333
"";"chevron";180;41.5234;-73.6468
"";"triangle";600;43.0389;-87.9064
"";"unknown";120;43.9628;-70.2831
"";"light";60;40.015;-105.27
"";"unknown";2;47.6064;-122.331
"";"disk";300;34.1578;-118.637
"";"triangle";60;46.7164;-122.953
"";"triangle";180;36.7223;-86.5772
"";"triangle";120;31.7058;-83.6533
"";"unknown";1800;35.235;-75.6289
"";"triangle";600;40.2736;-76.8847
"";"formation";3600;30.1586;-85.6603
"";"unknown";10;29.6158;-95.5575
"";"cigar";60;35.8906;-83.7247
"";"unknown";30;32.7592;-97.7969
"";"sphere";1200;55.1833;59.65
"";"light";8;40.6936;-89.5889
"";"other";60;36.2522;-85.9517
"";"cigar";3600;26.1498;-97.9136
"";"rectangle";120;42.9097;-73.8956
"";"light";5;34.1028;-91.9922
"";"sphere";3600;43.6667;-79.4167
"";"";120;43.0389;-87.9064
"";"";60;37.8044;-122.27
"";"triangle";3;39.0725;-93.7169
"";"light";300;-33.0934;151.589
"";"light";300;32.7764;-79.9311
"";"cylinder";60;39.4403;-84.3622
"";"delta";14400;39.6411;-85.1411
"";"sphere";30;33.4222;-111.822
"";"triangle";300;32.5436;-83.5961
"";"other";3600;43.6667;-92.9744
"";"changing";300;34.0983;-118.326
"";"fireball";15;33.4483;-112.073
"";"cylinder";1800;42.0372;-88.2811
"";"cigar";600;36.175;-115.136
"";"circle";2700;36.175;-115.136
"";"triangle";60;40.936;-73.9017
"";"triangle";600;47.6589;-117.425
"";"light";2;35.5847;-80.8103
"";"egg";7200;47.55;-52.6667
"";"fireball";15;35.265;-84.5533
"";"changing";3600;38.0194;-122.133
"";"unknown";600;39.1142;-94.6272
"";"other";10;32.7833;-96.8
"";"fireball";3600;32.7153;-117.156
"";"sphere";45;46.2114;-119.136
"";"circle";90;37.6689;-122.08
"";"light";10800;37.6447;-115.743
"";"sphere";300;41.6917;-97.4842
"";"triangle";120;27.1501;-82.4807
"";"chevron";240;45.565;-117.916
"";"oval";2700;44.8839;-84.3056
"";"oval";180;37.7242;-89.8611
"";"other";10;26.525;-80.0667
"";"cylinder";30;46.2167;-63.4833
"";"triangle";45;43.4055;-88.7051
"";"oval";15;38.627;-90.1994
"";"light";1800;38.1267;-92.0844
"";"light";5;38.9989;-84.6267
"";"unknown";10;47.6064;-122.331
"";"diamond";60;47.5406;-122.635
"";"triangle";240;42.3953;-94.6336
"";"formation";180;-33.8615;151.205
"";"other";300;49.25;-123.133
"";"circle";120;37.6689;-122.08
"";"rectangle";300;41.0042;-92.3736
"";"changing";900;36.7478;-119.771
"";"triangle";60;33.4483;-112.073
"";"triangle";30;36.8528;-75.9783
"";"flash";43;46.0131;-91.4844
"";"unknown";5;44.5403;-123.366
"";"circle";600;-34.9287;138.599
"";"sphere";90;47.6064;-122.331
"";"unknown";120;46.2167;-63.4833
"";"other";1800;39.1619;-84.4569
"";"circle";120;45.5236;-122.675
"";"light";120;41.7939;-86.7439
"";"oval";300;34.0953;-118.126
"";"sphere";1800;39.7683;-86.1581
"";"other";600;38.8403;-77.4292
"";"light";15;42.9897;-116.092
"";"oval";18000;41.7792;-83.5689
"";"formation";37800;33.8075;-78.7011
"";"light";180;35.0844;-106.651
"";"unknown";2700;53.0709;-2.73651
"";"sphere";1800;45.3089;-89.4964
"";"triangle";180;41.0886;-74.1442
"";"other";2700;40.0583;-74.4057
"";"changing";1200;49.9667;-98.3
"";"sphere";5;39.4667;-87.4139
"";"oval";15;39.7683;-86.1581
"";"unknown";300;45.4167;-80.1
"";"circle";10;39.6294;-79.9561
"";"unknown";180;37.8717;-122.272
"";"sphere";3600;41.5094;-90.5786
"";"oval";240;55.2881;23.9577
"";"formation";1200;42.2098;-79.4668
"";"circle";900;42.2669;-79.7108
"";"flash";900;44.295;-93.2686
"";"light";7200;40.7583;-82.5156
"";"light";60;38.9517;-92.3339
"";"sphere";3000;45.3089;-89.4964
"";"other";60;47.6064;-122.331
"";"other";30;33.415;-111.549
"";"oval";1800;25.9328;-80.1628
"";"egg";10;34.0522;-118.243
"";"triangle";300;40.5031;-78.6306
"";"formation";360;52.5167;-3.3
"";"unknown";240;35.4492;-86.7889
"";"other";3600;25.9328;-80.1628
"";"light";1200;47.4158;-120.292
"";"light";600;35.3186;-82.4611
"";"disk";300;46.3581;-94.2006
"";"diamond";3600;31.1911;-95.2353
"";"triangle";600;37.775;-122.418
"";"unknown";10;34.8761;-83.9583
"";"light";600;35.2247;-88.2492
"";"triangle";600;38.0683;-78.8897
"";"fireball";2;35.201;-91.8318
"";"other";360;34.6378;-97.8172
"";"formation";120;50.3964;-4.13861
"";"light";120;31.2133;-82.3542
"";"disk";300;33.5058;-102.009
"";"unknown";300;41.52;-81.4889
"";"light";14400;44.5367;-122.906
"";"changing";3600;33.5442;-84.2339
"";"changing";2700;39.7392;-104.984
"";"sphere";30;30.3319;-81.6558
"";"oval";600;33.7206;-116.215
"";"triangle";10800;42.1033;-76.2625
"";"circle";120;40.0064;-75.7036
"";"flash";3;30.2669;-97.7428
"";"sphere";60;33.5394;-83.8194
"";"fireball";180;26.7056;-80.0364
"";"unknown";3600;33.6675;-84.0178
"";"unknown";30;27.6383;-80.3975
"";"oval";120;27.2542;-80.23
"";"formation";35;29.7631;-95.3631
"";"light";600;46.7833;-92.1064
"";"circle";600;40.68;-102.839
"";"unknown";3600;41.1578;-80.0889
"";"other";4;33.4214;-96.5769
"";"triangle";15;39.8856;-104.987
"";"light";600;59.9002;5.28235
"";"other";120;42.9833;-81.25
"";"light";300;45.5114;-92.98
"";"circle";240;42.6292;-73.865
"";"disk";600;40.7139;-116.103
"";"formation";600;37.9747;-87.5558
"";"oval";45;42.6525;-73.7567
"";"triangle";60;37.5483;-121.988
"";"triangle";900;32.7253;-114.624
"";"light";600;41.6833;-86.25
"";"formation";10;43.8281;-91.3039
"";"unknown";120;40.517;-80.2214
"";"oval";60;39.9522;-75.1642
"";"light";180;47.6064;-122.331
"";"light";300;38.2544;-104.609
"";"oval";900;39.1619;-84.4569
"";"disk";30;32.7153;-117.156
"";"circle";20;43.0731;-89.4011
"";"sphere";60;40.4797;-84.6283
"";"egg";60;38.8697;-106.987
"";"unknown";6;36.1539;-95.9925
"";"unknown";180;34.1111;-109.291
"";"unknown";900;36.7281;-76.5839
"";"light";300;33.8353;-117.914
"";"light";600;34.2256;-77.945
"";"disk";300;39.1156;-77.5639
"";"changing";900;41.7075;-86.895
"";"light";180;37.3231;-122.031
"";"light";7200;42.7675;-78.7442
"";"circle";240;40.2736;-76.8847
"";"circle";180;41.5931;-81.5269
"";"formation";600;34.3769;-82.6958
"";"light";240;41.0264;-73.6289
"";"light";180;32.8544;-79.975
"";"triangle";300;37.6152;-122.39
"";"cigar";15;38.7892;-77.1875
"";"light";600;41.1669;-73.2053
"";"triangle";120;45.4078;-122.569
"";"oval";60;31.4636;-100.437
"";"fireball";5;41.8525;-72.6442
"";"cylinder";600;41.7886;-89.6961
"";"other";30;47.9792;-122.201
"";"disk";7200;35.8753;-110.62
"";"circle";10;42.6525;-73.7567
"";"egg";7200;33.7739;-117.941
"";"changing";1200;25.7739;-80.1939
"";"triangle";7200;42.7283;-73.6922
"";"circle";300;36.7281;-108.218
"";"other";300;34.61;-112.315
"";"circle";60;42.0964;-79.3758
"";"oval";300;51.3167;-0.266667
"";"oval";40;41.55;-71.4667
"";"disk";5;41.35;-72.0789
"";"flash";2700;42.4682;-71.0141
"";"light";300;37.6086;-77.3736
"";"";2700;35.9475;-86.4884
"";"flash";4;43.25;-79.8333
"";"fireball";1200;41.5622;-72.6511
"";"fireball";60;41.4819;-81.7983
"";"circle";15;39.9625;-76.7281
"";"circle";3;41.1239;-100.765
"";"triangle";90;39.5297;-84.0867
"";"circle";630;41.1669;-73.2053
"";"triangle";300;37.6152;-122.39
"";"sphere";240;32.7153;-117.156
"";"oval";120;42.5803;-83.0303
"";"light";900;43.0481;-76.1478
"";"circle";240;43.0481;-76.1478
"";"light";20;38.8339;-104.821
"";"changing";240;32.9975;-87.63
"";"disk";1800;40.7142;-74.0064
"";"triangle";30;44.1361;-79.3083
"";"fireball";120;32.3122;-106.778
"";"light";240;37.7306;-88.9331
"";"other";6;37.3394;-121.894
"";"sphere";300;33.4483;-112.073
"";"light";240;46.6022;-120.505
"";"changing";1200;30.2669;-97.7428
"";"cigar";180;36.3436;-83.2842
"";"light";600;46.8219;-123.095
"";"cylinder";20;41.1147;-74.15
"";"rectangle";5;33.7397;-116.412
"";"light";60;40.8584;-74.1638
"";"chevron";5;28.0778;-82.7639
"";"triangle";600;36.8642;-86.7103
"";"light";10800;38.6272;-90.1978
"";"light";10;45.4167;-75.7
"";"light";60;40.9781;-81.7822
"";"light";120;45.7167;-67.0
"";"light";120;44.4906;-73.1114
"";"circle";600;29.9939;-90.2417
"";"circle";300;39.7464;-84.2867
"";"light";5;42.7647;-71.4403
"";"light";1200;42.9275;-83.63
"";"circle";60;44.7792;-93.3361
"";"sphere";45;42.4775;-83.0278
"";"triangle";180;42.3086;-83.4822
"";"triangle";45;39.1611;-80.3522
"";"light";1;42.7647;-71.4403
"";"egg";14400;26.9339;-80.0944
"";"circle";300;42.5294;-83.7803
"";"";20;-23.6975;133.884
"";"light";30;44.9133;-93.5031
"";"fireball";60;38.3708;-90.5003
"";"sphere";180;41.2456;-89.9247
"";"sphere";300;41.2456;-89.9247
"";"sphere";900;35.0844;-106.651
"";"triangle";300;39.7764;-74.8628
"";"chevron";4;33.9533;-117.395
"";"";720;40.7142;-74.0064
"";"";120;38.4192;-82.4453
"";"light";60;36.6336;-81.7839
"";"sphere";300;64.0667;-21.95
"";"other";3600;37.5422;-122.515
"";"cigar";120;18.4464;-66.3881
"";"light";10;36.5453;-82.6611
"";"sphere";14400;39.7944;-87.3958
"";"sphere";30;44.3875;-68.2044
"";"fireball";4;38.4089;-121.371
"";"light";180;32.3667;-86.3
"";"light";300;34.0522;-118.243
"";"unknown";120;45.1244;-92.6735
"";"oval";600;41.9439;-85.6325
"";"light";10;45.2631;-122.691
"";"disk";6;45.3333;-80.0333
"";"oval";30;42.0386;-78.3411
"";"oval";30;42.0386;-78.3411
"";"oval";60;42.0386;-78.3411
"";"oval";60;42.0386;-78.3411
"";"other";5400;36.6231;-93.1639
"";"cigar";2;40.9731;-117.735
"";"triangle";45;42.1947;-122.708
"";"light";600;37.6867;-96.9764
"";"light";3600;30.3881;-95.6961
"";"light";900;36.4011;-93.7378
"";"disk";900;37.7043;-88.4268
"";"disk";600;41.9317;-87.9889
"";"diamond";3;51.5141;-0.093689
"";"light";30;43.9747;-75.9111
"";"light";30;38.7139;-121.462
"";"changing";240;52.75;-3.88333
"";"light";1500;33.9792;-118.032
"";"light";10800;45.1244;-92.6733
"";"other";1800;64.8378;-147.716
"";"light";900;39.7392;-104.984
"";"teardrop";300;31.2517;-89.8375
"";"triangle";60;39.2192;-121.06
"";"teardrop";300;40.7425;-84.1053
"";"fireball";6;37.2153;-93.2981
"";"sphere";600;39.5297;-119.813
"";"cylinder";300;42.1625;-71.0417
"";"fireball";3;32.7833;-96.8
"";"";172800;32.7153;-117.156
"";"circle";5;43.6667;-92.9744
"";"egg";120;40.7142;-74.0064
"";"sphere";3;39.3281;-120.182
"";"fireball";3;37.9161;-85.9562
"";"circle";40;43.4197;-85.8
"";"cigar";2;41.4925;-99.9018
"";"light";600;38.7297;-120.798
"";"unknown";10;40.0992;-104.937
"";"disk";180;39.1653;-86.5264
"";"chevron";600;39.0911;-94.4153
"";"triangle";3;21.3069;-157.858
"";"rectangle";20;34.0522;-118.243
"";"light";20;44.9194;-123.316
"";"other";7200;39.7328;-75.1319
"";"light";15;37.3394;-121.894
"";"light";1200;27.4779;-99.5496
"";"formation";2700;36.6778;-121.654
"";"circle";60;35.1186;-120.59
"";"rectangle";120;36.7478;-119.771
"";"light";5;41.3145;-81.8357
"";"fireball";1351;27.5061;-99.5072
"";"formation";7200;26.6156;-80.0572
"";"light";540;42.9639;-78.7381
"";"formation";180;52.6833;-2.01667
"";"light";180;28.1875;-82.7397
"";"circle";7200;44.8042;-93.1667
"";"circle";180;36.1881;-94.5405
"";"formation";600;39.321;-111.094
"";"light";720;40.6808;-112.262
"";"light";2;21.3445;-157.975
"";"light";5400;33.5806;-112.237
"";"formation";1800;33.3703;-112.583
"";"light";1800;32.8794;-111.757
"";"triangle";3;33.4147;-111.909
"";"light";1800;30.6942;-88.0431
"";"oval";300;40.8528;-74.0425
"";"light";10;42.2711;-95.0928
"";"oval";3600;53.4333;-1.35
"";"disk";13;36.1658;-86.7844
"";"circle";420;41.6156;-87.5295
"";"disk";30;43.1617;-70.6483
"";"oval";600;34.7465;-92.2896
"";"unknown";120;47.8211;-122.314
"";"fireball";120;34.0625;-118.122
"";"light";600;47.0228;-91.6706
"";"diamond";3600;30.4211;-87.2169
"";"light";900;30.6322;-87.0397
"";"formation";5;51.8167;-1.28333
"";"circle";3;34.2242;-118.239
"";"light";60;36.3956;-97.8781
"";"triangle";60;35.5361;-100.959
"";"oval";120;43.2128;-75.4561
"";"oval";360;39.0297;-84.3664
"";"cylinder";900;45.2944;-123.175
"";"circle";900;45.4078;-122.569
"";"unknown";3600;-27.5976;152.745
